,id_cliente,qtd_filhos,rendimento_anual,idade,tamanho_familia,anos_empregado,tem_carro,tem_casa_propria,tem_telefone_trabalho,tem_telefone_fixo,tem_email,categoria_de_renda,estado_civil,moradia,ocupacao,grau_escolaridade,mau
0,5008804,0,161100.0,33,2,12.4,1,1,1,0,0,Empregado,Uniao estavel,Alugado,Outros,Ensino superior,0
1,5008805,0,161100.0,33,2,12.4,1,1,1,0,0,Empregado,Uniao estavel,Alugado,Outros,Ensino superior,0
2,5008806,0,112500.0,59,2,3.1,1,1,0,0,0,Empregado,Casado,Casa propria,Seguranca,Ensino medio,0
3,5008810,0,270000.0,52,1,8.4,0,1,0,1,1,Associado comercial,Solteiro,Casa propria,Venda,Ensino medio,0
4,5008811,0,270000.0,52,1,8.4,0,1,0,1,1,Associado comercial,Solteiro,Casa propria,Venda,Ensino medio,0
5,5008812,0,283500.0,62,1,-1.7,0,1,0,0,0,Pensionista,Separado,Casa propria,Outros,Ensino superior,0
6,5008813,0,283500.0,62,1,-1.7,0,1,0,0,0,Pensionista,Separado,Casa propria,Outros,Ensino superior,0
7,5008814,0,283500.0,62,1,-1.7,0,1,0,0,0,Pensionista,Separado,Casa propria,Outros,Ensino superior,0
8,5112956,0,270000.0,46,2,2.1,1,1,1,1,1,Empregado,Casado,Casa propria,Contabilidade,Ensino superior,0
9,5008825,0,130500.0,29,2,3.0,1,0,0,0,0,Empregado,Casado,Casa propria,Contabilidade,Ensino superior incompleto,0
10,5008826,0,130500.0,29,2,3.0,1,0,0,0,0,Empregado,Casado,Casa propria,Contabilidade,Ensino superior incompleto,0
11,5008830,0,157500.0,27,2,4.0,0,1,0,1,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
12,5008831,0,157500.0,27,2,4.0,0,1,0,1,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
13,5008832,0,157500.0,27,2,4.0,0,1,0,1,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
14,5008834,1,112500.0,30,2,4.4,0,1,0,0,0,Empregado,Solteiro,Casa propria,Outros,Ensino medio,0
15,5008835,1,112500.0,30,2,4.4,0,1,0,0,0,Empregado,Solteiro,Casa propria,Outros,Ensino medio,0
16,5008836,3,270000.0,35,5,3.2,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
17,5008837,3,270000.0,35,5,3.2,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
18,5008838,1,405000.0,32,3,5.5,0,1,0,0,0,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
19,5008839,1,405000.0,32,3,5.5,0,1,0,0,0,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
20,5008840,1,405000.0,32,3,5.5,0,1,0,0,0,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
21,5008843,1,405000.0,32,3,5.5,0,1,0,0,0,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
22,5008844,0,112500.0,56,2,12.2,1,1,0,1,0,Associado comercial,Casado,Casa propria,Motorista,Ensino medio,0
23,5008847,0,112500.0,56,2,12.2,1,1,0,1,0,Associado comercial,Casado,Casa propria,Motorista,Ensino medio,0
24,5008850,0,112500.0,56,2,12.2,1,1,0,1,0,Associado comercial,Casado,Casa propria,Motorista,Ensino medio,0
25,5008853,0,112500.0,56,2,12.2,1,1,0,1,0,Associado comercial,Casado,Casa propria,Motorista,Ensino medio,0
26,5008855,2,135000.0,43,4,8.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
27,5008857,2,135000.0,43,4,8.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
28,5008868,1,211500.0,44,3,19.4,0,1,0,0,0,Servidor publico,Uniao estavel,Casa propria,Equipe principal,Ensino medio,0
